"","V2"
"1","company"
"2","watcher"
"3","retailer"
"4","banker"
"5","producer"
"6","appartus"
"7","spokeswoman"
"8","executive"
"9","executive"
"10","sales"
"11","musician"
"12","ruling"
"13","businessman"
"14","banks"
"15","specialist"
"16","official"
"17","rates"
"18","activist"
"19","decline"
"20","decline"
"21","analyst"
"22","pool"
"23","spokesman"
"24","executive"
"25","trader"
"26","showroom"
"27","treaty"
"28","analyst"
"29","settlement"
"30","foreman"
"31","system"
"32","writer"
"33","spokesman"
"34","hours"
"35","aspect"
"36","spokeswoman"
"37","analyst"
"38","figures"
"39","figures"
"40","word"
"41","market"
"42","groups"
"43","manager"
"44","proponents"
"45","look"
"46","opponents"
"47","hotel-casino"
"48","hotel-casino"
"49","fact"
"50","fact"
"51","cost"
"52","%"
"53","trends"
"54","strategist"
"55","leaders"
"56","search"
"57","opportunity"
"58","funds"
"59","system"
"60","observer"
"61","lawyer"
"62","excerpt"
"63","official"
"64","drop"
"65","expert"
"66","report"
"67","narrator"
"68","minister"
"69","%"
"70","banker"
"71","results"
"72","results"
"73","official"
"74","official"
"75","trader"
"76","words"
"77","shipbuilders"
"78","aide"
"79","zeros"
"80","executive"
"81","official"
"82","father"
"83","trader"
"84","judge"
"85","professor"
"86","seer"
"87","carillons"
"88","carillons"
"89","dominance"
"90","lobbyist"
"91","someone"
"92","gin"
"93","record"
"94","official"
"95","official"
"96","spokesman"
"97","spokesman"
"98","cars"
"99","spokesman"
"100","writer"
"101","official"
"102","spokesman"
"103","broker"
"104","lawyer"
"105","gist"
"106","details"
"107","spokesman"
"108","display"
"109","deductibility"
"110","spokesman"
"111","specialist"
"112","holder"
"113","desk"
"114","trader"
"115","assumption"
"116","incompatibility"
"117","translator"
"118","sum"
"119","markets"
"120","spokesman"
"121","accountability"
"122","official"
"123","cases"
"124","reaction"
"125","official"
"126","listing"
"127","opportunities"
"128","dealers"
"129","survey"
"130","role"
"131","role"
"132","managers"
"133","quote"
"134","cases"
"135","trader"
"136","release"
"137","release"
"138","PC"
"139","director"
"140","gold"
"141","mother"
"142","supporters"
"143","effort"
"144","executive"
"145","observer"
"146","news"
"147","raider"
"148","official"
"149","point"
"150","kicker"
"151","spokesman"
"152","agency"
"153","agency"
"154","trader"
"155","executive"
"156","skier"
"157","chemicals"
"158","spokesman"
"159","official"
"160","trader"
"161","trader"
"162","executive"
"163","waivers"
"164","interpretations"
"165","financiers"
"166","opponents"
"167","line"
"168","differences"
"169","franchisees"
"170","franchisees"
"171","official"
"172","use"
"173","makers"
"174","executive"
"175","nameplates"
"176","analyst"
"177","pilot"
"178","veteran"
"179","official"
"180","wife"
"181","officials"
"182","reputation"
"183","head"
"184","administration"
"185","management"
"186","prospect"
"187","specialist"
"188","pilot"
"189","spokesman"
"190","holder"
"191","official"
"192","spokesman"
"193","example"
"194","dispatches"
"195","dispatches"
"196","fact"
"197","fact"
"198","leaders"
"199","operators"
"200","executive"
"201","resident"
"202","official"
"203","adjustment"
"204","adjustment"
"205","executive"
"206","chairman"
"207","companies"
"208","press"
"209","press"
"210","spokeswoman"
"211","commercial"
"212","ability"
"213","ability"
"214","voice"
"215","official"
"216","growth"
"217","growth"
"218","magazine"
"219","magazine"
"220","specials"
"221","observers"
"222","murder"
"223","maker"
"224","official"
"225","reputation"
"226","reputation"
"227","disputes"
"228","aide"
"229","shareholders"
"230","contest"
"231","repeal"
"232","repeal"
"233","judge"
"234","earthquake"
"235","pains"
"236","competitors"
"237","statement"
"238","sheet"
"239","boom"
"240","manager"
"241","analyst"
"242","details"
"243","spokesman"
"244","advertisement"
"245","spokesman"
"246","official"
"247","ally"
"248","individual"
"249","overseers"
"250","voice"
"251","plan"
"252","plan"
"253","investor"
"254","lawyer"
"255","trends"
"256","dealer"
"257","aide"
"258","lobbyist"
"259","executive"
"260","rule"
"261","shopkeeper"
"262","agent"
"263","dispute"
"264","investigators"
"265","listing"
"266","addition"
"267","addition"
"268","implications"
"269","executives"
"270","flag"
"271","chairman"
"272","playwright"
"273","list"
"274","budget"
"275","trader"
"276","statistics"
"277","statistics"
"278","stretches"
"279","spokeswoman"
"280","spokeswoman"
"281","official"
"282","spokeswoman"
"283","dealer"
"284","expectations"
"285","expectations"
"286","companion"
"287","price"
"288","price"
"289","bloods"
"290","courts"
"291","gold"
"292","gold"
"293","ruling"
"294","trader"
"295","couriers"
"296","cutting"
"297","advocates"
"298","trading"
"299","executive"
"300","spokesman"
"301","truculence"
"302","son"
"303","patriarch"
"304","official"
"305","reputation"
"306","investor"
"307","trends"
"308","women"
"309","spokesman"
"310","economist"
"311","commitment"
"312","love"
"313","study"
"314","creators"
"315","retailers"
"316","retailers"
"317","plunge"
"318","members"
"319","trader"
"320","ideas"
"321","meditation"
"322","meditation"
"323","environment"
"324","trader"
"325","forces"
"326","tape"
"327","case"
"328","policymaker"
"329","accord"
"330","case"
"331","case"
"332","systems"
"333","officials"
"334","shantytown"
"335","spokeswoman"
"336","olds"
"337","outlets"
"338","changes"
"339","announcement"
"340","announcement"
"341","analyst"
"342","negligence"
"343","increase"
"344","specialist"
"345","analyst"
"346","president"
"347","flap"
"348","official"
"349","manager"
"350","prices"
"351","prices"
"352","alumnus"
"353","microcosm"
"354","forms"
"355","segment"
"356","segment"
"357","threat"
"358","losses"
"359","economist"
"360","spokeswoman"
"361","friend"
"362","trends"
"363","listing"
"364","listing"
"365","interest"
"366","narrator"
"367","office"
"368","violinist"
"369","tot"
"370","trends"
"371","drop"
"372","drop"
"373","realization"
"374","trends"
"375","diplomat"
"376","outlets"
"377","outlets"
"378","rig"
"379","details"
"380","acres"
"381","spokesman"
"382","official"
"383","official"
"384","fusillade"
"385","kicker"
"386","draw"
"387","debacle"
"388","investor"
"389","spokeswoman"
"390","trader"
"391","member"
"392","official"
"393","sellers"
"394","drop"
"395","lots"
"396","president"
"397","trends"
"398","spokesman"
"399","lawyer"
"400","shares"
"401","hotel"
"402","manufacture"
"403","official"
"404","spokesman"
"405","spokesman"
"406","salesman"
"407","steps"
"408","defenders"
"409","stock"
"410","host"
"411","airlines"
"412","founder"
"413","trader"
"414","competition"
"415","currency"
"416","comments"
"417","spokesman"
"418","actors"
"419","actors"
"420","manager"
"421","aide"
"422","problems"
"423","wife"
"424","prices"
"425","bit"
"426","analyst"
"427","banker"
"428","spokesman"
"429","agencies"
"430","horn"
"431","horn"
"432","spokesman"
"433","cars"
"434","manager"
"435","stocks"
"436","government"
"437","spokesman"
"438","doctor"
"439","official"
"440","sociologist"
"441","buy-out"
"442","judge"
"443","official"
"444","spokesman"
"445","instruction"
"446","gyrations"
"447","people"
"448","hearings"
"449","hearings"
"450","lobbyist"
"451","spokeswoman"
"452","crew"
"453","rundown"
"454","ban"
"455","minutes"
"456","word"
"457","spokesman"
"458","judge"
"459","lawyer"
"460","columnist"
"461","pollution"
"462","everyone"
"463","spokesman"
"464","activities"
"465","locations"
"466","locations"
"467","spokeswoman"
"468","researchers"
"469","effects"
"470","case"
"471","spokeswoman"
"472","spokesman"
"473","shot"
"474","weather"
"475","weather"
"476","lab"
"477","aide"
"478","banker"
"479","index"
"480","flag"
"481","light"
"482","official"
"483","aide"
"484","investment"
"485","jobs"
"486","people"
"487","spokesman"
"488","exodus"
"489","officer"
"490","breakdown"
"491","consortium"
"492","consortium"
"493","group"
"494","group"
"495","diplomat"
"496","trader"
"497","decision"
"498","decision"
"499","spokesman"
"500","part"
"501","trader"
"502","plan"
"503","excerpts"
"504","excerpts"
"505","offerings"
"506","speculator"
"507","analyst"
"508","partisans"
"509","dealer"
"510","details"
"511","opportunity"
"512","threat"
"513","performance"
"514","institutions"
"515","institutions"
"516","offer"
"517","announcer"
"518","spokeswoman"
"519","diplomat"
"520","aide"
"521","spokesman"
"522","situation"
"523","pressures"
"524","markets"
"525","commuters"
"526","reports"
"527","reports"
"528","requirements"
"529","trader"
"530","shopkeeper"
"531","individuals"
"532","manager"
"533","participant"
"534","look"
"535","office"
"536","sales"
"537","sales"
"538","doctor"
"539","drumroll"
"540","drumroll"
"541","manager"
"542","executive"
"543","trader"
"544","voice"
